id,architecture,model_type,test_accuracy,size_bytes,training_time,high_freq,num_mfccs,frame_length,frame_step,num_mel_bins
0,depthwise_separable_convs,normal,0.9175662398338318,0,2116.9094026088715,4000.0,13,640,320,40
1,depthwise_separable_convs,lite (quantized),0.91756624141315,18136,0.0,4000.0,13,640,320,40
2,build_mobilenet_v2_kws,normal,0.9221459031105042,0,2387.8298790454865,4000.0,13,640,320,40
3,build_mobilenet_v2_kws,lite (quantized),0.9221458946679753,83976,0.0,4000.0,13,640,320,40
4,depthwise_separable_convs,normal,0.9299967288970948,0,2969.8478043079376,8000.0,13,640,320,40
5,depthwise_separable_convs,lite (quantized),0.9296696107294732,18200,0.0,8000.0,13,640,320,40
6,build_mobilenet_v2_kws,normal,0.9371933341026306,0,2612.6597414016724,8000.0,13,640,320,40
7,build_mobilenet_v2_kws,lite (quantized),0.9371933267909716,84072,0.0,8000.0,13,640,320,40
8,depthwise_separable_convs,normal,0.9234543442726136,0,2461.7107021808624,8000.0,13,480,320,40
9,depthwise_separable_convs,lite (quantized),0.9231272489368664,18216,0.0,8000.0,13,480,320,40
10,build_mobilenet_v2_kws,normal,0.9378475546836852,0,1880.106948852539,8000.0,13,480,320,40
11,build_mobilenet_v2_kws,lite (quantized),0.9381746810598626,84080,0.0,8000.0,13,480,320,40
12,depthwise_separable_convs,normal,0.9286882281303406,0,4062.4737977981567,8000.0,23,480,240,40
13,depthwise_separable_convs,lite (quantized),0.928361138370952,18216,0.0,8000.0,23,480,240,40
14,build_mobilenet_v2_kws,normal,0.9391560554504396,0,3292.4286630153656,8000.0,23,480,240,40
15,build_mobilenet_v2_kws,lite (quantized),0.9385017991494928,84080,0.0,8000.0,23,480,240,40
16,depthwise_separable_convs,normal,0.9309780597686768,0,3077.594551563263,8000.0,23,320,240,40
17,depthwise_separable_convs,lite (quantized),0.9309780830879948,18216,0.0,8000.0,23,320,240,40
18,build_mobilenet_v2_kws,normal,0.9424272179603576,0,4189.899767398834,8000.0,23,320,240,40
19,build_mobilenet_v2_kws,lite (quantized),0.943081452404318,84080,0.0,8000.0,23,320,240,40
20,depthwise_separable_convs,normal,0.9277068972587584,0,2641.5231790542603,8000.0,30,320,240,40
21,depthwise_separable_convs,lite (quantized),0.9280340202813216,18136,0.0,8000.0,30,320,240,40
22,build_mobilenet_v2_kws,normal,0.9283611178398132,0,3272.068569421768,8000.0,30,320,240,40
23,build_mobilenet_v2_kws,lite (quantized),0.929342492639843,83912,0.0,8000.0,30,320,240,40
